track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ea,f1_ew,f1_lpv,f1_rr,f1_sn,f1_yso
a,0,random,438,0.755612372658772,0.8946781112212241,0.7432456358991635,0.9565939691309135,0.17498459642637093,0.8865673072315139,0.7466484372032965,0.8669656863828189,0.9610668244955333,0.7817904374364191,0.7810805758085624,0.6448135198135199
a,0,random,453,0.7550062162432682,0.8948172979264238,0.7420043183721875,0.9589336620694969,0.17358008934269303,0.888952736675765,0.7449861095254405,0.8650424429500606,0.9614227390133034,0.7836048879837068,0.7775897725136304,0.6409435061153174
a,0,random,468,0.758944849172665,0.8978414733529736,0.7486108431652511,0.9582434514637904,0.17012987012987013,0.8903794557301649,0.758594635436343,0.8697351184528964,0.9624865626274234,0.7981753174701023,0.77836016473231,0.6443990665110851
a,0,random,483,0.7597620299582465,0.8979690509562448,0.7480155089621582,0.9571093058175798,0.17131732641142117,0.8882612026043661,0.7624189255051925,0.8699826643552474,0.9621656700505261,0.808258844265391,0.7739868049010368,0.644357525713458
a,0,random,498,0.7573597949384037,0.8985896287565054,0.7469391004719469,0.9584965365543057,0.15446071904127828,0.8892297368547188,0.7644221639892143,0.87261554784377,0.9624551880019638,0.7973487173192586,0.7734848484848484,0.6437246963562753
a,0,random,513,0.7578063027323159,0.8987103964128715,0.7474223154086156,0.9591518072289157,0.1594296824368114,0.8883783266322037,0.7628505117376251,0.8737095740212658,0.9625236312414279,0.7880268784361637,0.7741203178206584,0.6520659950357717
a,0,random,528,0.7577825440576004,0.8986110941703082,0.7467848795768247,0.9558846153846153,0.15885416666666666,0.8882614729386993,0.7656089291836502,0.8741920540027796,0.9629622758767821,0.7899262899262899,0.7751322751322751,0.6492208174066451
a,0,random,543,0.7571173084293911,0.898804242486126,0.7465402997852757,0.9569730647526433,0.15782664941785252,0.8868778280542986,0.7691604100766035,0.8748154514003658,0.9626009625638695,0.7926108374384236,0.7727444318610797,0.6404461402993836
a,0,random,558,0.7577767487294762,0.8990334739743331,0.7454938091367772,0.9580799011373071,0.15163398692810456,0.8865792610250298,0.7674303358365417,0.8745770160404307,0.9624270495599815,0.7997982854261221,0.7733785822021116,0.6460863204096562
a,0,random,573,0.7566169099151726,0.8985040038337718,0.7461713495385783,0.9541838453051507,0.15942028985507245,0.8904593639575972,0.7652140672782874,0.8756383166050361,0.9634986480980777,0.800894298844864,0.7749763033175355,0.6252670559749324
a,0,random,588,0.7615219502078427,0.9007298128932593,0.7454534018030272,0.9623031835421216,0.1685082872928177,0.8927458407249365,0.7635499566250519,0.8728722115786924,0.9641949898944948,0.8067805251083354,0.7714612743227776,0.6512812827813577
a,0,random,603,0.757288879600867,0.8998498446493689,0.7434340403712419,0.9618156724428769,0.1411764705882353,0.8940915234601274,0.7638448770182587,0.8717790055248619,0.9635308168763714,0.8058470764617691,0.7729174591099277,0.6405970149253731
a,0,random,618,0.7585479467204377,0.8995257014660115,0.7458817395422702,0.9625783211021479,0.15300546448087432,0.8935227546352035,0.7613439033597584,0.871223037531313,0.9629361946591056,0.8029251363411006,0.774795355035218,0.6446013533392174
