track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_yso
b,0,uncertainty,179,0.7419014736381463,0.8973537004166766,0.7139046001326846,0.9557441372387991,0.5231116121758738,0.8129032258064516,0.9413326102778531,0.9675987102912416,0.1665859564164649,0.8260340632603407
b,0,uncertainty,194,0.7366125244862332,0.8976629172048608,0.7100620407983638,0.9439200444197668,0.5,0.779874213836478,0.9408499069967091,0.9679193885377271,0.211932734392997,0.8117913832199547
b,0,uncertainty,209,0.7273607962993325,0.8932374911830214,0.7018319385997965,0.9417106848299509,0.5127020785219399,0.7948717948717948,0.9410324655915968,0.9700431715278509,0.11453296004072283,0.8166324187114711
b,0,uncertainty,224,0.7456027627977357,0.8961409267489371,0.7305848035303978,0.9411328450913136,0.6274111675126903,0.788235294117647,0.9422490669249837,0.9711189436582671,0.12827691524560958,0.8207951070336391
b,0,uncertainty,239,0.7660758338139989,0.9039285051030543,0.7475952977149939,0.9471552200331431,0.6672914714151827,0.7926829268292683,0.9437225724373544,0.9759987409175563,0.18821803959912,0.8474618654663666
b,0,uncertainty,254,0.7531488102992673,0.8976167303118607,0.737483062157993,0.9206289069899602,0.666030534351145,0.8,0.9435286064685414,0.9753495217071376,0.15209701869631126,0.8144070838817757
b,0,uncertainty,269,0.7721377570871766,0.905622277313121,0.7524545205008976,0.9559736938253562,0.6673040152963671,0.8192771084337349,0.9447173043974871,0.976361444520153,0.18317200297840655,0.8581587301587301
b,0,uncertainty,284,0.7700341133336213,0.9036128109545094,0.7495306078444257,0.9534096109839817,0.6772277227722773,0.8263473053892215,0.944063422354669,0.9763626834381551,0.15760322255790535,0.8552248258391387
b,0,uncertainty,299,0.7737810208170232,0.9062688567203383,0.7540384113748717,0.9604642727602466,0.6749760306807286,0.8192771084337349,0.9445403569848903,0.9777149291643753,0.16771277931207632,0.8717816683831102
b,0,uncertainty,314,0.7763902624125366,0.9080935584052761,0.7490535412997346,0.9626743975357854,0.7098001902949572,0.7848101265822784,0.945304467039872,0.978396268209418,0.17928979389123417,0.8744565933342116
b,0,uncertainty,329,0.7959687509544696,0.9160149606214043,0.7635626174866995,0.9686994063680519,0.7096153846153846,0.8074534161490683,0.9480108304800653,0.9792812280107372,0.27353629976580796,0.8851846912921723
b,0,uncertainty,344,0.8132206683801272,0.9247464833418104,0.7738050381740378,0.9658783173858098,0.6954813359528488,0.8176100628930818,0.9523356675600126,0.9798430206785053,0.40034364261168387,0.8810526315789474
b,0,uncertainty,359,0.8091747686604845,0.9228034836044765,0.7742388525682867,0.9670448406266883,0.6686746987951807,0.8383233532934131,0.9507092912842057,0.980665362035225,0.37491863744847037,0.8838871971402091
b,0,uncertainty,374,0.8119714175281827,0.9240231300404376,0.775011830670038,0.9667929976538531,0.6761421319796954,0.8363636363636363,0.9519467257324493,0.9799524294937139,0.3892033086634741,0.8833986928104575
b,0,uncertainty,389,0.8153860365527504,0.923818600083976,0.7788359067815043,0.9692058346839546,0.7008032128514057,0.8363636363636363,0.9506519703191413,0.9804801670146138,0.38133787814230935,0.8888595564941922
b,0,uncertainty,404,0.8146030510395386,0.9245391850726324,0.7771924566758491,0.9663348416289593,0.7047047047047047,0.8220858895705522,0.9515566947956569,0.980957605203354,0.38885316184351554,0.8877284595300261
b,0,uncertainty,419,0.8108533449122779,0.9211412038682649,0.7803593525317841,0.9654173456454825,0.7101879327398615,0.8352941176470589,0.9493705488813754,0.9810078633193134,0.3476936466492602,0.8870019595035924
b,0,uncertainty,434,0.8123524393847953,0.9225161874376943,0.775872645456977,0.9641528269352936,0.7037411526794742,0.8363636363636363,0.9508258042239742,0.9807617009057924,0.36758635672387574,0.8830355978615204
b,0,uncertainty,449,0.8367487642409587,0.9363834125999897,0.7955281993836134,0.964078374455733,0.6890927624872579,0.8292682926829268,0.9581281861356804,0.9814283478533048,0.5490569632310917,0.8861884228407161
b,0,uncertainty,464,0.8428459774654261,0.9390963015354011,0.8030622424599566,0.9656485090183994,0.6906474820143885,0.8292682926829268,0.9591027099559523,0.9812405288185191,0.5869447941017802,0.8870695256660169
b,0,uncertainty,479,0.8460939641720463,0.9397026958578583,0.8079972239583447,0.965098359169613,0.6928645294725957,0.8383233532934131,0.9594869022747528,0.9803337773250803,0.6026722925457103,0.8838785351231592
b,0,uncertainty,494,0.8570623670588401,0.9418147412614759,0.8236212536558289,0.9648040638606676,0.7580174927113703,0.8313253012048193,0.9603579812206573,0.9808335074159181,0.6195229233632211,0.8845752996352266
b,0,uncertainty,509,0.8497510787069308,0.9403626115168721,0.8143678217328648,0.964301934780634,0.6945010183299389,0.8502994011976048,0.9596482227922316,0.9799926866217417,0.6190879810137312,0.8804263062126332
b,0,uncertainty,524,0.8536003344085422,0.9431131283915987,0.8137654830053993,0.9648979591836735,0.713272543059777,0.8343558282208589,0.9630767430293455,0.9787767903815996,0.6458224769845405,0.875
